record_id,journal_name,pub_year,subject_terms,cluster_id
88814,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2001,"Computer Science, Information Systems,Computer Science",2
88815,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2001,"Computer Science, Information Systems,Computer Science",2
88816,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2001,"Computer Science, Information Systems,Computer Science",0
88817,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2001,"Computer Science, Information Systems,Computer Science",4
88818,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2002,"Computer Science, Information Systems,Computer Science",2
88819,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2002,"Computer Science, Information Systems,Computer Science",3
88820,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2002,"Computer Science, Information Systems,Computer Science",3
88821,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2002,"Computer Science, Information Systems,Computer Science",2
88822,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2003,"Computer Science, Information Systems,Computer Science",4
88823,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2003,"Computer Science, Information Systems,Computer Science",2
88824,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2003,"Computer Science, Information Systems,Computer Science",4
88825,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2003,"Computer Science, Information Systems,Computer Science",2
88826,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2004,"Computer Science, Information Systems,Computer Science",3
88827,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2004,"Computer Science, Information Systems,Computer Science",4
88828,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2004,"Computer Science, Information Systems,Computer Science",6
88829,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2004,"Computer Science, Information Systems,Computer Science",1
88830,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2005,"Computer Science, Information Systems,Computer Science",4
88831,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2005,"Computer Science, Information Systems,Computer Science",6
88832,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2005,"Computer Science, Information Systems,Computer Science",6
88833,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2005,"Computer Science, Information Systems,Computer Science",0
88834,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2006,"Computer Science, Information Systems,Computer Science",4
88835,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2006,"Computer Science, Information Systems,Computer Science",3
88836,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2006,"Computer Science, Information Systems,Computer Science",3
88838,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2007,"Computer Science, Information Systems,Computer Science",3
88839,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2007,"Computer Science, Information Systems,Computer Science",4
88840,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2007,"Computer Science, Information Systems,Computer Science",3
88841,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2007,"Computer Science, Information Systems,Computer Science",4
88843,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2008,"Computer Science, Information Systems,Computer Science",2
88845,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2008,"Computer Science, Information Systems,Computer Science",2
88846,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2009,"Computer Science, Information Systems,Computer Science",2
88847,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2009,"Computer Science, Information Systems,Computer Science",2
88848,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2009,"Computer Science, Information Systems,Computer Science",2
88849,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2009,"Computer Science, Information Systems,Computer Science",2
88850,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2010,"Computer Science, Information Systems,Computer Science",2
88851,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2010,"Computer Science, Information Systems,Computer Science",2
88852,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2010,"Computer Science, Information Systems,Computer Science",3
88853,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2010,"Computer Science, Information Systems,Computer Science",2
88854,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2011,"Computer Science, Information Systems,Computer Science",2
88855,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2011,"Computer Science, Information Systems,Computer Science",2
88856,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2011,"Computer Science, Information Systems,Computer Science",0
88857,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2011,"Computer Science, Information Systems,Computer Science",2
88858,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2012,"Computer Science, Information Systems,Computer Science",2
88859,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,2012,"Computer Science, Information Systems,Computer Science",3
